Rela,Nfkbia,TF-target_gene
Rela,Nfkb2,TF-target_gene
Rela,Gadd45b,TF-target_gene
Rela,Myb,TF-target_gene
Rela,Cxcl9,TF-target_gene
Rela,Smad7,TF-target_gene
Rela,Agt,TF-target_gene
Rela,Apoe,TF-target_gene
Rela,Cdkn2a,TF-target_gene
Rela,Bmp2,TF-target_gene
Rela,Cacna1c,TF-target_gene
Rela,Ccl12,TF-target_gene
Rela,Ccl5,TF-target_gene
Rela,Cd38,TF-target_gene
Rela,Cd40,TF-target_gene
Rela,Cd80,TF-target_gene
Rela,Cd86,TF-target_gene
Rela,Cdk9,TF-target_gene
Rela,Cdx2,TF-target_gene
Rela,Cflar,TF-target_gene
Rela,Cldn5,TF-target_gene
Rela,Csf1,TF-target_gene
Rela,Cxadr,TF-target_gene
Rela,Cxcl15,TF-target_gene
Rela,Cxcr4,TF-target_gene
Rela,Cyp11a1,TF-target_gene
Rela,Dcst1,TF-target_gene
Rela,Dcst2,TF-target_gene
Rela,Dmp1,TF-target_gene
Rela,Duox2,TF-target_gene
Rela,Epas1,TF-target_gene
Rela,Kdm2a,TF-target_gene
Rela,Fth1,TF-target_gene
Rela,Gabre,TF-target_gene
Rela,Gli1,TF-target_gene
Rela,Hk,TF-target_gene
Rela,Hsd11b2,TF-target_gene
Rela,Icam1,TF-target_gene
Rela,Igf2bp2,TF-target_gene
Rela,Igk,TF-target_gene
Rela,Il4,TF-target_gene
Rela,Il9,TF-target_gene
Rela,Irf4,TF-target_gene
Rela,Itch,TF-target_gene
Rela,Klf5,TF-target_gene
Rela,Klrb1c,TF-target_gene
Rela,Ltc4s,TF-target_gene
Rela,Map3k8,TF-target_gene
Rela,Met,TF-target_gene
Rela,Mgmt,TF-target_gene
Rela,Mmp3,TF-target_gene
Rela,Mmp14,TF-target_gene
Rela,Ngb,TF-target_gene
Rela,Nrf1,TF-target_gene
Rela,Pdk4,TF-target_gene
Rela,Pecam1,TF-target_gene
Rela,Pglyrp1,TF-target_gene
Rela,Phex,TF-target_gene
Rela,Ppm1d,TF-target_gene
Rela,Psme2,TF-target_gene
Rela,Ptafr,TF-target_gene
Rela,Ptpn1,TF-target_gene
Rela,Reg3b,TF-target_gene
Rela,Ripk2,TF-target_gene
Rela,Rorc,TF-target_gene
Rela,Selp,TF-target_gene
Rela,Serpine2,TF-target_gene
Rela,Shh,TF-target_gene
Rela,Slc1a2,TF-target_gene
Rela,Slc2a4,TF-target_gene
Rela,Sod2,TF-target_gene
Rela,Sox9,TF-target_gene
Rela,Stim1,TF-target_gene
Rela,Stk39,TF-target_gene
Rela,Tcrg-C1,TF-target_gene
Rela,Tec,TF-target_gene
Rela,Tlr2,TF-target_gene
Rela,Tnfrsf4,TF-target_gene
Rela,Tnfsf13b,TF-target_gene
Rela,Trim63,TF-target_gene
Rela,Trp63,TF-target_gene
Rela,Trp73,TF-target_gene
Rela,Upp1,TF-target_gene
Rela,Yy1,TF-target_gene
Akt1,mmu-miR-21a-5p,TF-target_gene
Dnmt1,Epcam,TF-target_gene
Nfkb2,Gm2023,TF-target_gene
Nfkb2,Traf5,TF-target_gene
Nfkb2,Traf4,TF-target_gene
Nfkb2,Traf3,TF-target_gene
Nfkb2,Traf2,TF-target_gene
Nfkb2,Traf1,TF-target_gene
Nfkb2,Cxcl12,TF-target_gene
Nfkb2,Ptgs2,TF-target_gene
Nfkb2,Ccl21a,TF-target_gene
Nfkb2,Birc2,TF-target_gene
Nfkb2,Chat,TF-target_gene
Nfkb2,Birc3,TF-target_gene
Nfkb2,LOC100862177,TF-target_gene
Nfkb2,Gm1987,TF-target_gene
Nfkb2,Xiap,TF-target_gene
Nfkb2,Ccl19,TF-target_gene
Nfkb2,Gm13304,TF-target_gene
Nfkb2,Gm10591,TF-target_gene
Nfkb2,Ccl21b,TF-target_gene
Nfkb2,LOC100041593,TF-target_gene
Nfkb2,Tnfsf13b,TF-target_gene
Nfkb2,Sh2d3c,TF-target_gene
Nfkb2,Birc7,TF-target_gene
Nfkb2,Ccl21c,TF-target_gene
Nfkb2,Traf6,TF-target_gene
Nfkb2,Icam1,TF-target_gene
Nfkb2,LOC100041504,TF-target_gene
Nfkb2,Csf2,TF-target_gene
Nfkb2,Dmp1,TF-target_gene
Nfkb2,Rel,TF-target_gene
Nfkb2,Relb,TF-target_gene
Nfkb2,Snd1,TF-target_gene
Csf2,Itgb3,TF-target_gene
Mapk1,Pdyn,TF-target_gene
Mapk1,LOC640611,TF-target_gene
Mapk1,Egr1,TF-target_gene
Raf1,Mapk1,TF-target_gene
Mapk9,Jun,TF-target_gene
Mapk9,Smad4,TF-target_gene
Tnfaip3,Bax,TF-target_gene
Tnfaip3,Ppara,TF-target_gene
Mapk10,Smad4,TF-target_gene
Mapk10,Jun,TF-target_gene
Nfkb1,Apoa1,TF-target_gene
Nfkb1,Mogs,TF-target_gene
Nfkb1,Ebi3,TF-target_gene
Nfkb1,Birc7,TF-target_gene
Nfkb1,Tnfsf15,TF-target_gene
Nfkb1,Zfp354c,TF-target_gene
Nfkb1,Sh2d3c,TF-target_gene
Nfkb1,Tlr2,TF-target_gene
Nfkb1,Ces2c,TF-target_gene
Nfkb1,Wt1,TF-target_gene
Nfkb1,Ugcg,TF-target_gene
Nfkb1,Ube2h,TF-target_gene
Nfkb1,Trp53-ps,TF-target_gene
Nfkb1,Traf6,TF-target_gene
Nfkb1,Traf5,TF-target_gene
